G348.793+00.145 Q 348.793   0.146  153   1110.651  1034.256  1198.981                        
G349.110-00.773 Q 349.110  -0.772   66   1927.702  1713.089  2201.800                        
G349.894+00.145 C 349.894   0.145  189   1433.957  1320.828  1567.799                        
G350.401+01.037 G 350.401   1.037  372   1838.449  1732.160  1965.367                        
G350.675+00.832 G 350.675   0.832  108   1975.410  1745.891  2272.117                        
G350.707+00.999 C 350.707   0.999   86   1483.538  1313.609  1702.620                        
G351.017+00.856 Q 351.017   0.857   59   2184.444  1926.973  2518.499                        
G351.153+00.623 Q 351.153   0.623   68   1746.446  1617.439  1897.297                        
G351.170+00.704 K 351.170   0.704  171   1772.816  1667.431  1915.924                        
G351.348+00.593 G 351.348   0.593  125   1679.413  1581.042  1797.090                        
G351.462+00.556 G 351.462   0.557   68   1743.048  1585.663  1934.253                        
G351.479+00.643 Q 351.479   0.644   68   1886.948  1713.857  2097.912                        
G351.676+00.610 G 351.676   0.611  130   2304.760  2033.246  2656.930                        
G352.098-00.039 C 352.098  -0.039   93   1824.880  1680.104  1996.310                        
G352.795+01.359 K 352.795   1.360  581   2573.825  2156.853  3179.321                        
G352.838+00.934 G 352.838   0.934  171   1533.516  1426.615  1657.368                        
G353.195+00.910 K 353.195   0.910   99   1648.635  1598.346  1714.107                        
G353.436+00.426 G 353.436   0.426  362   1717.968  1575.287  1888.423                        
G355.328-00.008 Q 355.328  -0.008  138   2068.744  1741.066  2542.648                        
G355.413+00.636 Q 355.413   0.637  141   4138.135  3491.841  5055.476                        
G359.086-00.430 Q 359.086  -0.430  259   2161.762  1917.642  2475.221                        
G359.858-00.272 Q 359.858  -0.271   55   2920.169  2619.826  3295.941                        
